model,batch_size,id,latency_ns
llama3_70b,128,100,176256
llama3_70b,128,18,178720
llama3_70b,128,1,174112
llama3_70b,128,19,170592
llama3_70b,128,10,172032
llama3_70b,128,15,180992
llama3_70b,128,21,179424
llama3_70b,128,22,171104
llama3_70b,128,14,182816
llama3_70b,128,20,177088
llama3_70b,128,2,170080
llama3_70b,128,11,176192
llama3_70b,128,12,174560
llama3_70b,128,16,176352
llama3_70b,128,13,181088
llama3_70b,128,17,175936
llama3_70b,128,26,170208
llama3_70b,128,27,169664
llama3_70b,128,31,182592
llama3_70b,128,29,177024
llama3_70b,128,24,180256
llama3_70b,128,28,174176
llama3_70b,128,25,177472
llama3_70b,128,3,181312
llama3_70b,128,23,163840
llama3_70b,128,33,179648
llama3_70b,128,35,174656
llama3_70b,128,34,176928
llama3_70b,128,32,177632
llama3_70b,128,30,183136
llama3_70b,128,36,167616
llama3_70b,128,37,174016
llama3_70b,128,38,181696
llama3_70b,128,4,177248
llama3_70b,128,39,173696
llama3_70b,128,41,173312
llama3_70b,128,42,169024
llama3_70b,128,43,170272
llama3_70b,128,48,177152
llama3_70b,128,46,172960
llama3_70b,128,45,169536
llama3_70b,128,44,179456
llama3_70b,128,49,172320
llama3_70b,128,47,184064
llama3_70b,128,40,179872
llama3_70b,128,50,179168
llama3_70b,128,5,181536
llama3_70b,128,51,164256
llama3_70b,128,53,170336
llama3_70b,128,56,172832
llama3_70b,128,54,180352
llama3_70b,128,52,171392
llama3_70b,128,61,170944
llama3_70b,128,60,185215
llama3_70b,128,59,178624
llama3_70b,128,58,175136
llama3_70b,128,57,178016
llama3_70b,128,55,187232
llama3_70b,128,6,177248
llama3_70b,128,63,182560
llama3_70b,128,62,169088
llama3_70b,128,64,175520
llama3_70b,128,65,178944
llama3_70b,128,66,172512
llama3_70b,128,68,174912
llama3_70b,128,7,165088
llama3_70b,128,69,179840
llama3_70b,128,67,175008
llama3_70b,128,74,175136
llama3_70b,128,70,176320
llama3_70b,128,73,176480
llama3_70b,128,72,175904
llama3_70b,128,71,187936
llama3_70b,128,76,176800
llama3_70b,128,79,172512
llama3_70b,128,75,184416
llama3_70b,128,8,172160
llama3_70b,128,78,184096
llama3_70b,128,77,171424
llama3_70b,128,80,175872
llama3_70b,128,82,175168
llama3_70b,128,81,179968
llama3_70b,128,83,174528
llama3_70b,128,84,186240
llama3_70b,128,88,186080
llama3_70b,128,85,170880
llama3_70b,128,87,166848
llama3_70b,128,86,174336
llama3_70b,128,89,187264
llama3_70b,128,9,169856
llama3_70b,128,90,176448
llama3_70b,128,91,178208
llama3_70b,128,92,184832
llama3_70b,128,93,173056
llama3_70b,128,94,178656
llama3_70b,128,95,184032
llama3_70b,128,96,164832
llama3_70b,128,97,172640
llama3_70b,128,98,175136
llama3_70b,16,11,21920
llama3_70b,128,99,172096
llama3_70b,16,12,21216
llama3_70b,16,10,26368
llama3_70b,16,1,26496
llama3_70b,16,13,28384
llama3_70b,16,100,30304
llama3_70b,16,14,20320
llama3_70b,16,15,24832
llama3_70b,16,16,24832
llama3_70b,16,17,22080
llama3_70b,16,19,26208
llama3_70b,16,18,27264
llama3_70b,16,2,24544
llama3_70b,16,24,25856
llama3_70b,16,21,26080
llama3_70b,16,20,33056
llama3_70b,16,23,25248
llama3_70b,16,22,23744
llama3_70b,16,25,21984
llama3_70b,16,27,23232
llama3_70b,16,26,30496
llama3_70b,16,28,20800
